recipe_name,ingredients,location,restaurant_type,cuisine_type,dish_category,price_point,price_range,cooking_method,spice_level,dietary_tags,preparation_time,instructions,launch_date,season,neighborhood_type,population_density,area_income_level,region,avg_monthly_sales,customer_rating,review_count,profit_margin,food_cost,success
Chef's Misal Pav,"rice flour, herbs, vegetables, ginger garlic, prawns, lemon, spices, kokum",Seattle WA,casual_dining,maharashtrian,appetizer,13.14,budget,sauteed,hot,paleo,40,,2023-09-01,fall,suburban,medium,high,north_america,290,4.4,52,0.48,6.75,1
Spring Rolls,"noodles, ginger, pepper, butter, scallions, oil, salt, chili",San Francisco CA,food_truck,chinese,dessert,3.0,budget,roasted,mild,"dairy_free,low_carb",37,,2022-12-02,winter,business_district,high,high,north_america,104,3.9,10,0.48,1.85,1
Shakshuka,"vegetables, feta cheese, herbs, salt, onion, oil, garlic, cream",Bangalore India,casual_dining,mediterranean,beverage,8.52,budget,steamed,mild,"keto,low_carb",22,,2023-03-27,spring,suburban,high,medium,india,192,4.1,36,0.55,4.01,1
Fish Curry,"mustard oil, cream, potatoes, panch phoron",Birmingham UK,cafe,bengali,beverage,9.53,mid_range,raw,very_hot,"spicy,mild,paleo",34,,2023-08-09,summer,downtown,high,medium,europe,100,3.9,28,0.56,3.42,1
Puttu,"vegetables, fish, spices, oil, rice, salt",Vancouver Canada,cafe,kerala,side_dish,14.45,mid_range,grilled,medium,none,25,,2022-10-25,fall,residential,medium,high,north_america,201,3.9,55,0.49,6.47,1
Margherita Pizza,"tomatoes, vegetables, parmesan, herbs, garlic, onion",Los Angeles CA,food_truck,italian,main_course,5.05,budget,raw,mild,"nut_free,vegetarian,low_carb",29,,2023-03-31,spring,business_district,high,high,north_america,157,4.7,16,0.53,2.29,1
Naan Bread,"paneer, butter, vegetables, lime, yogurt, turmeric, onion",Birmingham UK,cafe,north_indian,main_course,11.72,mid_range,baked,hot,"paleo,high_protein,gluten_free",41,,2023-07-18,summer,business_district,high,medium,europe,186,4.1,52,0.51,6.25,1
Premium Pinni,"chickpeas, herbs, mustard greens, ginger, kidney beans, coriander, spices",Hyderabad India,cafe,punjabi,beverage,9.27,budget,roasted,very_hot,none,27,,2023-02-21,winter,downtown,high,medium,india,126,4.4,13,0.56,4.34,1
Lassi,"onion, cream, ghee, spices, onions",Lucknow India,fast_food,punjabi,side_dish,6.49,budget,steamed,mild,none,41,,2022-11-01,fall,suburban,medium,low,india,270,4.5,50,0.6,2.64,1
Appam with Stew,"lemon, rice, vegetables, spices, lime, tamarind",Kolkata India,cafe,kerala,side_dish,10.38,mid_range,raw,medium,"keto,spicy,vegan",25,,2023-07-12,summer,business_district,very_high,medium,india,203,4.2,20,0.6,3.37,1
Pani Puri,"cream, yogurt, onion, vegetables, lime, herbs",Goa India,casual_dining,indian_street_food,side_dish,13.19,budget,roasted,medium,"vegetarian,dairy_free,gluten_free",28,,2022-06-23,summer,business_district,low,medium,india,203,4.5,32,0.47,6.33,1
Chilli Chicken,"ginger garlic, cornflour, vinegar, chicken, salt, rice",Bangalore India,cafe,indo_chinese,dessert,11.53,mid_range,sauteed,hot,high_protein,29,,2023-08-31,summer,residential,high,medium,india,213,4.0,49,0.55,4.32,1
Chole Tikki,"yogurt, green chilies, pepper, butter, lemon, potatoes",Lucknow India,casual_dining,indian_street_food,appetizer,13.54,mid_range,roasted,mild,paleo,11,,2023-04-20,spring,business_district,medium,low,india,152,4.4,16,0.57,4.93,1
Classic Bhel Puri,"onions, herbs, onion, cream, tamarind chutney, oil",Los Angeles CA,casual_dining,indian_street_food,main_course,14.11,mid_range,raw,hot,"paleo,keto",39,,2023-10-11,fall,suburban,high,high,north_america,330,4.9,55,0.47,7.88,1
Deluxe Aloo Gobi,"onions, garam masala, salt, butter, cream, herbs, garlic, oil",Goa India,food_truck,north_indian,side_dish,4.9,budget,steamed,hot,none,17,,2022-01-27,winter,downtown,low,medium,india,107,4.1,30,0.43,2.31,1
Payasam,"spices, black pepper, coconut, pepper, vegetables, lime, curry leaves, jaggery",New York NY,casual_dining,kerala,beverage,14.44,mid_range,steamed,medium,none,11,,2023-03-23,spring,downtown,high,high,north_america,212,4.8,57,0.54,7.83,1
Kulfi,"ginger, yogurt, potatoes, lime, ghee",Leicester UK,cafe,punjabi,side_dish,8.87,budget,roasted,very_hot,"gluten_free,vegan,spicy",10,,2022-07-22,summer,business_district,medium,medium,europe,163,4.2,29,0.42,4.65,1
Puran Poli,"rice flour, jaggery, onions, pav bread",Pune India,casual_dining,maharashtrian,side_dish,8.37,budget,steamed,mild,"vegetarian,gluten_free,mild",32,,2024-01-15,winter,tourist_area,high,medium,india,243,4.2,67,0.58,3.46,1
Risotto,"spices, oil, butter, garlic, onion",Ahmedabad India,food_truck,italian,dessert,3.98,budget,baked,hot,mild,20,,2023-09-16,fall,suburban,high,medium,india,179,3.8,24,0.45,2.46,1
Chef's Makki di Roti Sarson da Saag,"butter, onion, pepper, ginger",Austin TX,fine_dining,punjabi,side_dish,34.93,upscale,grilled,hot,"mild,keto,spicy",24,,2023-11-02,fall,downtown,medium,medium,north_america,184,4.9,22,0.44,21.27,1
Ramen Burger,"cream, pickles, lemon, salt, specialty sauces, herbs, tomato",Goa India,food_truck,fusion,main_course,5.56,budget,roasted,medium,"mild,high_protein",39,,2022-08-13,summer,downtown,low,medium,india,159,3.8,40,0.51,2.37,1
Chef's Thepla,"sesame oil, coriander, coconut, pepper, lime, oil",Leicester UK,cafe,gujarati,main_course,9.39,budget,roasted,hot,none,35,,2022-04-26,spring,suburban,medium,medium,europe,198,4.3,38,0.55,4.85,1
Fried Rice,"ginger garlic, cabbage, lemon, soy sauce, green chilies",Bangalore India,cafe,indo_chinese,main_course,5.01,budget,raw,very_hot,none,21,,2022-08-30,summer,suburban,high,medium,india,172,4.2,49,0.47,2.81,1
Bisi Bele Bath,"sambar powder, cream, spices, vegetables",Hyderabad India,fast_food,south_indian,dessert,10.45,budget,grilled,mild,none,25,,2023-08-06,summer,business_district,high,medium,india,377,4.4,81,0.55,4.58,1
Dahi Puri,"green chilies, chaat masala, lime, coriander, potatoes, butter",Kolkata India,cafe,indian_street_food,appetizer,10.33,mid_range,fried,medium,nut_free,20,,2022-06-27,summer,downtown,very_high,medium,india,120,4.2,17,0.38,5.77,1
Chicken Parmesan,"herbs, oil, vegetables, tomatoes, lemon",Toronto Canada,fast_food,italian,appetizer,5.01,budget,raw,medium,mild,42,,2022-12-13,winter,residential,high,high,north_america,288,4.1,73,0.53,1.94,1
Malabar Biryani,"cardamom, pepper, lime, coconut",Birmingham UK,casual_dining,kerala,main_course,18.24,mid_range,fried,mild,"dairy_free,nut_free",24,,2022-11-05,fall,residential,high,medium,europe,130,4.5,38,0.56,6.82,1
Classic Burger,"garlic, butter, herbs, onions, lettuce, cheese, vegetables",Pune India,cafe,american,main_course,7.29,budget,sauteed,very_hot,"high_protein,keto,nut_free",16,,2022-08-26,summer,tourist_area,high,medium,india,94,4.1,18,0.56,3.39,1
Rajma Chawal,"lime, butter, yogurt, cream",Mumbai India,fast_food,punjabi,side_dish,7.58,budget,steamed,hot,spicy,22,,2023-12-29,winter,residential,very_high,medium,india,547,3.8,159,0.42,5.11,1
Chilli Chicken,"green chilies, cornflour, noodles, salt, vinegar",New York NY,food_truck,indo_chinese,main_course,7.12,budget,raw,mild,none,15,,2023-10-20,fall,residential,high,high,north_america,138,4.4,33,0.51,3.98,1
Chingri Malai Curry,"coconut milk, onion, prawns, cream",Bangalore India,fine_dining,bengali,beverage,71.27,luxury,grilled,medium,"vegetarian,nut_free",45,,2023-07-18,summer,business_district,high,medium,india,99,5.0,17,0.48,31.67,1
Deluxe Hot and Sour Soup,"spices, green chilies, oil, salt, herbs, lemon, broth",Chicago IL,cafe,indo_chinese,beverage,4.73,budget,raw,medium,"paleo,mild,low_carb",41,,2023-11-13,fall,residential,high,medium,north_america,189,4.3,31,0.43,2.25,1
House Special Chingri Malai Curry,"pepper, nigella seeds, garlic, herbs, jaggery",Pune India,casual_dining,bengali,dessert,17.85,mid_range,baked,very_hot,none,24,,2022-11-19,fall,residential,high,medium,india,318,4.4,91,0.49,9.75,1
Apple Pie,"vegetables, bacon, onions, chicken, pepper",Kolkata India,cafe,american,appetizer,8.86,mid_range,grilled,very_hot,none,28,,2023-03-16,spring,business_district,very_high,medium,india,189,3.9,26,0.56,4.16,1
Bruschetta,"oregano, pasta, spices, herbs",Ahmedabad India,cafe,italian,beverage,5.08,budget,roasted,hot,"vegan,mild",21,,2024-01-04,winter,suburban,high,medium,india,107,4.3,23,0.47,2.76,1
Rava Idli,"urad dal, spices, lime, rice, oil, mustard seeds",Leicester UK,fast_food,south_indian,beverage,9.06,budget,sauteed,medium,mild,30,,2023-05-10,spring,residential,medium,medium,europe,499,4.3,108,0.55,4.14,1
Payasam,"salt, onion, cardamom, jaggery, coconut oil, butter, oil",Toronto Canada,cafe,kerala,side_dish,15.42,mid_range,grilled,very_hot,none,23,,2022-07-23,summer,residential,high,high,north_america,217,4.2,62,0.43,8.49,1
Premium Samosa Chaat,"oil, potatoes, green chilies, lemon",Hyderabad India,casual_dining,indian_street_food,beverage,12.89,budget,baked,mild,"low_carb,gluten_free,vegetarian",21,,2023-10-08,fall,business_district,high,medium,india,340,4.1,54,0.61,6.0,1
Rava Idli,"herbs, salt, urad dal, butter",Delhi India,food_truck,south_indian,dessert,6.39,budget,sauteed,mild,dairy_free,28,,2022-03-16,spring,downtown,very_high,medium,india,71,4.3,14,0.42,4.21,1
Classic Punjabi Kadhi,"chickpeas, potatoes, cream, oil, yogurt, onion",Delhi India,fast_food,punjabi,appetizer,6.35,budget,baked,mild,none,14,,2023-12-11,winter,tourist_area,very_high,medium,india,322,4.3,67,0.46,3.11,1
Signature Palak Paneer,"cream, chicken, basmati rice, lime, cumin, spices, oil",Ahmedabad India,casual_dining,north_indian,dessert,23.49,mid_range,fried,medium,"spicy,vegan,high_protein",12,,2023-10-21,fall,suburban,high,medium,india,157,4.3,21,0.46,15.14,1
Signature Enchiladas,"vegetables, avocado, oil, beef",Goa India,cafe,mexican,side_dish,4.57,budget,steamed,mild,none,40,,2024-02-10,winter,downtown,low,medium,india,212,3.9,49,0.45,2.04,1
Khandvi,"onion, jaggery, turmeric, salt",Hyderabad India,fast_food,gujarati,beverage,11.26,budget,sauteed,very_hot,paleo,15,,2023-02-16,winter,tourist_area,high,medium,india,449,4.0,130,0.43,6.86,1
Mawa Kachori,"ghee, vegetables, onions, cardamom, garlic, butter, oil",Goa India,fine_dining,rajasthani,beverage,37.59,upscale,raw,hot,nut_free,43,,2022-03-10,spring,residential,low,medium,india,193,4.6,46,0.63,13.47,1
Signature Kung Pao Chicken,"salt, rice, lime, vegetables",Bangalore India,fine_dining,chinese,dessert,30.58,upscale,baked,hot,"nut_free,dairy_free,vegetarian",40,,2023-08-16,summer,business_district,high,medium,india,69,4.8,16,0.5,15.2,1
Churros,"avocado, cream, pepper, chili peppers",Kochi India,fast_food,mexican,appetizer,9.18,budget,raw,very_hot,"keto,vegetarian",11,,2024-02-17,winter,tourist_area,medium,medium,india,530,4.5,121,0.49,3.77,1
Classic Burger,"cream, beef, salt, oil, bread",Lucknow India,casual_dining,american,dessert,17.76,mid_range,grilled,hot,none,29,,2022-09-29,fall,tourist_area,medium,low,india,221,5.0,45,0.57,6.52,1
Classic Payasam,"lemon, tamarind, cream, black pepper, vegetables, salt, coconut oil",Jaipur India,casual_dining,kerala,beverage,12.86,budget,sauteed,mild,"dairy_free,nut_free",10,,2022-02-24,winter,residential,medium,low,india,114,4.3,24,0.54,6.54,1
Deluxe Fried Rice,"vegetables, cream, pepper, onion, spices, noodles, sesame oil, lemon",New York NY,cafe,chinese,main_course,8.46,mid_range,raw,medium,vegan,13,,2022-07-06,summer,downtown,high,high,north_america,109,4.1,26,0.52,3.45,1
Apple Pie,"spices, lettuce, pepper, butter, chicken, lemon, garlic, tomato",Chennai India,food_truck,american,dessert,6.07,budget,steamed,mild,"mild,vegan,vegetarian",24,,2022-02-06,winter,suburban,high,medium,india,96,4.7,24,0.55,2.41,1
Deluxe Aloo Paratha,"spices, pepper, onion, vegetables, chickpeas, lemon",Goa India,casual_dining,punjabi,side_dish,12.55,budget,fried,hot,none,44,,2023-07-11,summer,residential,low,medium,india,230,4.5,39,0.54,6.4,1
Baklava,"pepper, onion, butter, cucumbers, spices, garlic, feta cheese, olive oil",Pune India,cafe,mediterranean,main_course,15.33,mid_range,sauteed,very_hot,vegetarian,37,,2023-02-06,winter,suburban,high,medium,india,135,4.1,28,0.58,6.02,1
Chole Tikki,"cream, lime, mint chutney, yogurt",Mumbai India,food_truck,indian_street_food,dessert,3.38,budget,grilled,mild,nut_free,29,,2024-01-08,winter,downtown,very_high,medium,india,174,4.1,17,0.42,1.71,1
Chef's Chicken Curry,"seasonings, jaggery, coconut oil, oil, chicken",Bangalore India,fast_food,kerala,side_dish,5.48,budget,baked,medium,"paleo,low_carb",38,,2022-03-06,spring,business_district,high,medium,india,500,4.0,59,0.5,3.25,1
Hot Pot,"lemon, ginger, salt, garlic, oil, soy sauce",Seattle WA,fine_dining,chinese,beverage,53.12,luxury,raw,medium,"vegetarian,keto,gluten_free",11,,2023-08-19,summer,tourist_area,medium,high,north_america,184,5.0,18,0.58,20.13,1
Ker Sangri,"dried berries, garlic, cream, spices, butter, herbs",Lucknow India,fine_dining,rajasthani,main_course,28.15,upscale,baked,hot,none,45,,2022-06-09,summer,residential,medium,low,india,117,4.6,29,0.48,16.11,1
Sweet and Sour Pork,"vegetables, soy sauce, ginger, salt, lime, oil, sesame oil, spices",Goa India,food_truck,chinese,beverage,3.38,budget,fried,hot,none,32,,2022-07-07,summer,residential,low,medium,india,151,3.8,39,0.36,1.96,1
Deluxe Dhokla,"pepper, mustard seeds, spices, besan, hing, coconut, yogurt, garlic",Austin TX,casual_dining,gujarati,side_dish,12.1,mid_range,raw,medium,"keto,gluten_free,low_carb",32,,2023-01-03,winter,downtown,medium,medium,north_america,316,4.4,79,0.48,7.2,1
House Special Aloo Paratha,"herbs, lemon, ginger, potatoes, lime, vegetables",Kochi India,fast_food,punjabi,main_course,6.73,budget,grilled,very_hot,none,41,,2023-12-21,winter,business_district,medium,medium,india,542,4.2,76,0.44,3.32,1
Uttapam,"curry leaves, fish, spices, rice, lime",Los Angeles CA,fast_food,south_indian,appetizer,8.74,budget,sauteed,hot,"nut_free,high_protein",32,,2022-01-18,winter,suburban,high,high,north_america,591,4.5,93,0.54,3.34,1
Premium Baklava,"onion, butter, cucumbers, salt, lime",Seattle WA,fine_dining,mediterranean,appetizer,53.85,luxury,fried,very_hot,mild,33,,2022-02-13,winter,suburban,medium,high,north_america,166,4.6,42,0.58,19.19,1
Bruschetta,"garlic, lemon, parmesan, onion",Vancouver Canada,cafe,italian,side_dish,8.57,mid_range,sauteed,very_hot,"nut_free,paleo",14,,2022-05-14,spring,tourist_area,medium,high,north_america,134,4.3,16,0.57,3.94,1
Bhel Puri,"sev, lime, green chilies, spices, coriander, yogurt",Seattle WA,casual_dining,indian_street_food,side_dish,11.26,budget,sauteed,very_hot,"vegetarian,keto",12,,2023-12-19,winter,downtown,medium,high,north_america,251,4.3,41,0.59,3.76,1
Guacamole,"spices, lime, avocado, butter, cilantro, oil, pepper, cheese",Hyderabad India,cafe,mexican,beverage,11.71,mid_range,grilled,hot,"high_protein,vegetarian",11,,2024-01-14,winter,residential,high,medium,india,207,4.2,46,0.59,4.1,1
Chef's Enchiladas,"spices, herbs, avocado, salt, cream, cilantro",San Francisco CA,food_truck,mexican,appetizer,3.55,budget,sauteed,very_hot,none,28,,2022-06-09,summer,tourist_area,high,high,north_america,77,4.1,22,0.4,2.12,1
Ghewar,"lentils, lemon, spices, red meat, onion",Toronto Canada,fine_dining,rajasthani,beverage,29.88,upscale,roasted,hot,spicy,17,,2023-09-13,fall,business_district,high,high,north_america,172,4.6,26,0.53,16.5,1
Tiramisu,"parmesan, basil, pasta, olive oil, tomatoes",New York NY,cafe,italian,beverage,9.05,budget,fried,hot,none,22,,2023-09-02,fall,suburban,high,high,north_america,208,4.6,53,0.43,4.2,1
Butter Chicken,"lemon, red chili powder, salt, coriander, onion, butter, cumin, vegetables",Kolkata India,food_truck,north_indian,side_dish,3.72,budget,baked,very_hot,"gluten_free,dairy_free",15,,2023-01-21,winter,downtown,very_high,medium,india,83,3.8,17,0.4,2.46,1
House Special Pav Bhaji,"jaggery, oil, onion, coconut, lemon, green chilies, vegetables, herbs",Los Angeles CA,casual_dining,maharashtrian,side_dish,18.17,mid_range,steamed,very_hot,none,28,,2022-08-12,summer,tourist_area,high,high,north_america,144,4.4,23,0.51,7.96,1
Beef Curry,"coconut, seasonings, salt, herbs, coconut oil, lime, tamarind, oil",Miami FL,cafe,kerala,dessert,7.16,budget,raw,mild,"paleo,keto,high_protein",19,,2022-05-31,spring,tourist_area,medium,high,north_america,169,4.1,29,0.46,3.22,1
Deluxe Bruschetta,"herbs, tomatoes, spices, pepper, lime, oil, pasta, onion",London UK,fast_food,italian,appetizer,11.3,budget,fried,mild,"paleo,low_carb",30,,2023-04-18,spring,suburban,high,high,europe,470,3.9,105,0.58,4.99,1
Fish Molee,"oil, rice, cardamom, green chilies, herbs, salt",Leicester UK,fine_dining,kerala,dessert,61.41,luxury,raw,hot,spicy,41,,2023-04-23,spring,tourist_area,medium,medium,europe,179,5.0,22,0.51,28.17,1
Classic Butter Chicken Poutine,"salt, mixed vegetables, unique toppings, specialty sauces",Birmingham UK,food_truck,fusion,main_course,3.06,budget,raw,very_hot,none,30,,2022-11-06,fall,suburban,high,medium,europe,94,4.0,23,0.42,1.63,1
Spring Rolls,"oil, lemon, herbs, noodles, onion, sesame oil, soy sauce, lime",Goa India,fast_food,chinese,side_dish,6.71,budget,baked,very_hot,"vegetarian,spicy,mild",17,,2022-12-05,winter,tourist_area,low,medium,india,380,4.0,55,0.44,3.84,1
Sushi Burger,"vegetables, salt, lime, tomato",Chennai India,fast_food,fusion,dessert,8.52,budget,raw,very_hot,"low_carb,gluten_free,dairy_free",32,,2023-03-14,spring,business_district,high,medium,india,367,4.4,94,0.54,4.52,1
Bruschetta,"cream, oil, mozzarella, olive oil, salt, basil, butter, tomatoes",Ahmedabad India,fast_food,italian,dessert,7.33,budget,baked,very_hot,"paleo,vegan",35,,2024-02-15,winter,business_district,high,medium,india,365,4.1,96,0.46,4.48,1
Nachos,"cream, chicken, corn tortillas, onion",Chicago IL,casual_dining,mexican,side_dish,12.14,budget,raw,medium,"high_protein,vegan,mild",41,,2023-02-19,winter,business_district,high,medium,north_america,325,4.6,85,0.51,5.13,1
Rajasthani Thali,"oil, garlic, pepper, dried berries, salt, cream",Birmingham UK,cafe,rajasthani,dessert,9.73,mid_range,raw,medium,"nut_free,vegan",17,,2023-07-06,summer,business_district,high,medium,europe,216,4.1,29,0.55,4.13,1
Hummus Plate,"spices, chickpeas, olive oil, onion, oil, cream, feta cheese",Vancouver Canada,fine_dining,mediterranean,side_dish,41.66,luxury,grilled,medium,none,33,,2023-03-18,spring,suburban,medium,high,north_america,72,5.0,10,0.52,18.61,1
Spaghetti Carbonara,"pepper, basil, salt, butter, olive oil",San Francisco CA,fast_food,italian,side_dish,9.08,budget,baked,very_hot,spicy,24,,2023-02-20,winter,suburban,high,high,north_america,285,4.4,35,0.49,4.99,1
Palak Paneer,"onion, garlic, yogurt, cumin, onions, basmati rice, lime",Chicago IL,casual_dining,north_indian,appetizer,9.67,budget,sauteed,very_hot,"gluten_free,mild",31,,2023-07-28,summer,business_district,high,medium,north_america,136,4.7,34,0.42,5.57,1
Dal Baati Churma,"yogurt, lime, wheat flour, garlic",Pune India,fast_food,rajasthani,dessert,10.42,budget,fried,very_hot,mild,27,,2023-10-31,fall,business_district,high,medium,india,296,4.2,40,0.5,5.36,1
House Special Gobi Manchurian,"soy sauce, vegetables, bell peppers, noodles, onion, salt",Delhi India,casual_dining,indo_chinese,beverage,22.58,mid_range,grilled,very_hot,"mild,nut_free",19,,2023-02-13,winter,residential,very_high,medium,india,196,4.1,43,0.56,8.2,1
Signature Sweet and Sour Pork,"onion, spices, cream, lime",Kochi India,fast_food,chinese,dessert,8.33,budget,grilled,hot,"nut_free,high_protein,dairy_free",13,,2023-06-07,summer,tourist_area,medium,medium,india,481,4.2,60,0.48,3.88,1
Chilli Chicken,"salt, chicken, noodles, cream, vinegar, lime, pepper",Pune India,fast_food,indo_chinese,beverage,5.46,budget,grilled,very_hot,"low_carb,high_protein,keto",34,,2023-02-17,winter,downtown,high,medium,india,590,4.1,123,0.56,2.67,1
Rajasthani Thali,"lemon, red meat, wheat flour, herbs, cardamom, beans",Ahmedabad India,food_truck,rajasthani,beverage,5.11,budget,baked,hot,nut_free,28,,2024-02-05,winter,tourist_area,high,medium,india,113,3.9,15,0.53,2.32,1
Deluxe Solkadhi,"coconut, pepper, besan, onions",Hyderabad India,casual_dining,maharashtrian,main_course,14.67,budget,grilled,mild,low_carb,45,,2022-04-22,spring,residential,high,medium,india,130,4.8,23,0.48,9.08,1
Deluxe Ramen Burger,"spices, oil, cream, specialty sauces, creative proteins, garlic",Ahmedabad India,fine_dining,fusion,main_course,54.38,luxury,baked,medium,"gluten_free,dairy_free",43,,2022-07-09,summer,business_district,high,medium,india,66,5.0,10,0.51,29.76,1
Fish Curry,"lentils, vegetables, onion, coconut, lime, coconut milk, sambar powder",Chennai India,casual_dining,south_indian,side_dish,13.48,mid_range,baked,very_hot,"gluten_free,low_carb",29,,2023-10-10,fall,residential,high,medium,india,171,4.2,42,0.6,5.37,1
Signature Dosa,"herbs, jaggery, mustard seeds, salt",Hyderabad India,casual_dining,south_indian,beverage,12.86,budget,sauteed,hot,spicy,28,,2023-04-26,spring,business_district,high,medium,india,318,4.1,72,0.46,6.22,1
Chilli Chicken,"green chilies, herbs, cream, seasonings, garlic",Ahmedabad India,fine_dining,indo_chinese,appetizer,55.72,luxury,steamed,hot,none,43,,2023-09-18,fall,downtown,high,medium,india,110,4.7,15,0.54,28.49,1
Pav Bhaji,"lemon, onion, butter, prawns",Los Angeles CA,fine_dining,maharashtrian,dessert,48.01,luxury,sauteed,hot,"paleo,nut_free,dairy_free",40,,2022-12-13,winter,downtown,high,high,north_america,132,4.9,32,0.47,28.86,1
Apple Pie,"pepper, potatoes, onions, cream, spices, herbs",Vancouver Canada,food_truck,american,side_dish,3.0,budget,grilled,medium,"high_protein,vegan,keto",28,,2022-01-25,winter,residential,medium,high,north_america,85,4.5,18,0.46,1.61,1
Shakshuka,"oil, salt, onion, oregano, feta cheese, lime",Kolkata India,fast_food,mediterranean,appetizer,10.15,budget,roasted,mild,none,43,,2022-02-21,winter,suburban,very_high,medium,india,422,3.9,89,0.53,4.1,1
Peking Duck,"noodles, pepper, lemon, butter, onion, garlic, lime, ginger",Leicester UK,fast_food,chinese,beverage,11.84,budget,sauteed,hot,high_protein,12,,2023-08-31,summer,downtown,medium,medium,europe,227,4.2,50,0.38,8.21,1
Chef's Risotto,"olive oil, garlic, pasta, pepper, vegetables",Toronto Canada,casual_dining,italian,dessert,15.26,mid_range,grilled,hot,low_carb,34,,2022-07-08,summer,business_district,high,high,north_america,225,4.8,30,0.55,7.71,1
Kung Pao Chicken,"garlic, sesame oil, noodles, rice, vegetables, lime, spices, seasonings",Seattle WA,cafe,chinese,main_course,11.36,mid_range,raw,mild,"dairy_free,paleo,keto",41,,2022-01-16,winter,business_district,medium,high,north_america,129,4.0,35,0.49,6.52,1
Kosha Mangsho,"potatoes, onion, lemon, mustard oil, herbs, butter, mustard seeds, fish",Ahmedabad India,fine_dining,bengali,side_dish,61.86,luxury,sauteed,very_hot,"keto,low_carb",18,,2022-01-06,winter,suburban,high,medium,india,187,5.0,34,0.55,24.78,1
Mumbai Street Food,"butter, prawns, onions, salt, lemon, lime, spices",Birmingham UK,cafe,maharashtrian,side_dish,8.19,mid_range,roasted,medium,"dairy_free,high_protein",31,,2023-04-18,spring,suburban,high,medium,europe,172,4.3,34,0.47,3.85,1
Kung Pao Chicken,"chicken, soy sauce, lemon, herbs, salt, rice, butter",Kochi India,fast_food,chinese,beverage,6.97,budget,raw,mild,"dairy_free,spicy,nut_free",17,,2022-04-17,spring,residential,medium,medium,india,305,3.9,41,0.45,3.56,1
Coconut Rice,"mustard seeds, seasonings, salt, cream",Miami FL,fine_dining,south_indian,side_dish,28.44,upscale,grilled,mild,"paleo,keto",10,,2023-02-05,winter,business_district,medium,high,north_america,186,4.7,48,0.62,8.87,1
Handvo,"cream, salt, turmeric, yogurt",Birmingham UK,cafe,gujarati,main_course,11.65,mid_range,fried,medium,none,17,,2022-03-16,spring,suburban,high,medium,europe,191,4.1,56,0.49,6.43,1
Classic Chole Kulche,"ghee, lime, pepper, butter, onions, coriander",Jaipur India,fast_food,punjabi,appetizer,6.0,budget,baked,hot,"dairy_free,vegan",36,,2023-10-12,fall,residential,medium,low,india,227,4.3,35,0.58,2.24,1
Street Tacos,"vegetables, avocado, beef, tortillas, herbs, chili peppers, butter, salsa",Jaipur India,fast_food,mexican,dessert,5.32,budget,raw,mild,vegetarian,21,,2023-04-19,spring,suburban,medium,low,india,392,4.0,115,0.46,2.5,1
Korean BBQ Tacos,"spices, herbs, oil, tortillas, vegetables",Toronto Canada,fast_food,fusion,dessert,9.55,budget,baked,mild,"keto,gluten_free",24,,2022-09-10,fall,tourist_area,high,high,north_america,366,4.5,59,0.45,4.63,1
Thai Pizza,"pepper, herbs, onion, spices, dough, salt, fusion spices, oil",Goa India,casual_dining,fusion,appetizer,14.71,mid_range,fried,very_hot,none,38,,2022-12-26,winter,business_district,low,medium,india,277,4.8,78,0.51,7.2,1
Sweet and Sour Vegetables,"green chilies, spices, pepper, cabbage, herbs",Mumbai India,fast_food,indo_chinese,dessert,5.36,budget,roasted,hot,"gluten_free,vegetarian,mild",20,,2022-11-21,fall,downtown,very_high,medium,india,541,4.4,64,0.56,2.14,1
Pinni,"butter, potatoes, kidney beans, salt, cream, ginger, herbs, mustard greens",Kolkata India,food_truck,punjabi,side_dish,6.72,budget,fried,medium,"mild,gluten_free",22,,2023-09-14,fall,residential,very_high,medium,india,85,3.9,13,0.49,2.99,1
BBQ Ribs,"bread, lettuce, lime, spices",Jaipur India,fine_dining,american,appetizer,35.57,upscale,fried,very_hot,"gluten_free,vegan,spicy",11,,2023-07-24,summer,residential,medium,low,india,116,4.8,32,0.58,12.61,1
Churros,"avocado, corn tortillas, pepper, salt",Goa India,food_truck,mexican,dessert,6.34,budget,baked,mild,"vegetarian,vegan",36,,2023-03-03,spring,tourist_area,low,medium,india,88,4.3,25,0.55,2.71,1
Street Tacos,"avocado, corn tortillas, lemon, spices, cheese, chicken",Pune India,fine_dining,mexican,appetizer,65.85,luxury,baked,medium,nut_free,23,,2022-06-10,summer,tourist_area,high,medium,india,135,4.8,37,0.55,35.27,1
Greek Salad,"cream, dressing, oregano, lemon, feta cheese",Kolkata India,casual_dining,mediterranean,beverage,19.07,mid_range,roasted,very_hot,vegetarian,18,,2023-12-20,winter,tourist_area,very_high,medium,india,214,4.6,43,0.64,5.59,1
Dal Baati Churma,"red chilies, jaggery, oil, pepper, vegetables, garlic",Birmingham UK,casual_dining,rajasthani,appetizer,14.04,mid_range,steamed,medium,"high_protein,paleo,dairy_free",18,,2022-04-26,spring,suburban,high,medium,europe,229,4.8,42,0.48,6.63,1
Enchiladas,"corn tortillas, butter, avocado, garlic, spices, cheese, cream, oil",San Francisco CA,fast_food,mexican,main_course,6.9,budget,fried,medium,"dairy_free,low_carb",33,,2022-11-04,fall,residential,high,high,north_america,265,4.3,71,0.56,2.9,1
